time,x,y,z,gx,gy,gz,barometer
0.093,0.34,-0.55,0.74,-0.11,0.02,-0.08,1007.36
0.217,0.34,-0.56,0.74,-0.04,-0.02,-0.02,1007.39
0.299,0.33,-0.56,0.74,0.00,-0.07,0.00,1007.45
0.38,0.35,-0.56,0.75,0.03,-0.01,-0.01,1007.43
0.503,0.35,-0.56,0.74,0.03,-0.00,-0.04,1007.38
0.587,0.33,-0.55,0.74,0.03,-0.01,-0.02,1007.33
0.706,0.32,-0.57,0.75,0.01,0.03,0.00,1007.37
0.8,0.33,-0.57,0.75,0.03,0.00,0.01,1007.42
0.901,0.34,-0.54,0.74,-0.04,0.02,0.00,1007.45
1.003,0.35,-0.57,0.78,-0.09,-0.00,0.01,1007.42
1.096,0.32,-0.56,0.70,0.13,0.26,-0.02,1007.49
1.186,0.36,-0.54,0.69,0.07,-0.28,-0.01,1007.48
1.3,0.36,-0.44,0.67,0.12,-2.13,-0.05,1007.33
1.361,0.57,-0.57,0.59,-0.61,-2.26,-0.98,1007.37
1.504,0.71,-0.60,0.55,-0.13,0.59,-0.41,1007.49
1.572,0.63,-0.53,0.51,0.17,0.45,-0.50,1007.38
1.703,0.83,-0.76,0.61,-0.60,1.32,0.42,1007.34
1.773,0.53,-0.51,0.52,0.08,2.20,0.49,1007.44
1.904,0.24,-0.53,0.74,-0.47,1.03,0.53,1007.37
2.095,0.24,-0.53,0.74,-0.47,1.03,0.53,1007.35
2.1,0.20,-0.52,0.79,0.33,0.09,0.16,1007.52
2.199,0.04,-0.53,0.58,-0.60,-3.14,0.18,1007.42
2.303,0.49,-0.56,0.56,-1.41,-0.94,-1.19,1007.25
2.403,0.60,-0.53,0.51,1.81,-0.75,-1.61,1007.34
2.501,0.78,-0.55,0.50,-0.24,-0.31,0.22,1007.28
2.576,0.75,-0.53,0.48,-0.11,0.29,-0.33,1007.42
2.704,0.80,-0.75,0.62,-0.52,3.02,1.43,1007.42
2.795,0.80,-0.75,0.62,0.51,2.56,0.62,1007.35
2.902,0.30,-0.59,0.71,-0.00,0.79,0.51,1007.43
2.988,0.23,-0.62,0.69,-0.13,0.37,0.15,1007.51
3.097,0.15,-0.58,0.65,-0.01,-3.70,-2.40,1007.39
3.217,0.40,-0.73,0.63,-0.55,-0.40,-0.69,1007.40
3.303,0.50,-0.56,0.55,0.75,-0.75,-1.05,1007.51
3.389,0.67,-0.58,0.50,-0.37,-1.72,-0.70,1007.44
3.501,0.78,-0.60,0.48,0.05,-0.78,0.26,1007.53
3.597,0.74,-0.57,0.48,0.30,0.07,-0.12,1007.50
3.696,0.99,-0.67,0.48,0.24,3.39,1.59,1007.49
3.796,0.57,-0.51,0.51,1.07,3.76,0.69,1007.50
3.904,0.15,-0.49,0.69,1.45,1.87,0.41,1007.48
3.997,0.11,-0.55,0.72,0.08,0.82,0.36,1007.54
4.101,0.08,-0.58,0.77,-0.19,-0.12,0.02,1007.52
4.154,-0.07,-0.43,0.68,0.08,-2.48,-1.96,1007.41
4.154,-0.07,-0.43,0.68,0.08,-2.48,-1.96,1007.41
4.477,0.05,-0.45,0.69,0.08,-2.48,-1.96,1007.41
4.492,0.67,-0.53,0.54,-0.65,-0.78,-0.03,1007.37
4.617,0.76,-0.55,0.51,0.20,0.89,0.35,1007.42
4.702,0.46,-0.56,0.56,-0.06,4.81,2.38,1007.46
4.813,0.32,-0.59,0.61,1.78,3.32,0.61,1007.39
4.906,0.28,-0.54,0.63,-0.42,0.62,0.38,1007.39
5.012,0.11,-0.56,0.72,0.04,0.30,0.12,1007.50
5.105,-0.01,-0.54,0.57,0.15,-1.65,0.23,1007.39
5.205,-0.01,-0.54,0.57,-1.07,0.09,-0.06,1007.41
5.322,0.20,-0.61,0.70,-1.41,-0.93,-1.20,1007.47
5.409,0.62,-0.56,0.57,0.15,-2.50,-0.85,1007.50
5.504,0.81,-0.56,0.53,-0.69,-0.68,0.24,1007.50
5.598,0.74,-0.56,0.51,0.01,0.12,-0.21,1007.46
5.723,0.81,-0.59,0.51,0.06,3.07,2.14,1007.36
5.816,0.89,-0.72,0.57,-0.07,2.98,0.75,1007.39
5.904,0.31,-0.58,0.65,0.72,1.27,0.82,1007.45
6.001,0.29,-0.60,0.69,0.33,1.01,0.39,1007.44
6.086,0.07,-0.52,0.71,-0.02,-0.77,-0.36,1007.49
6.215,0.12,-0.61,0.72,-0.03,-0.90,0.21,1007.38
6.304,0.49,-0.74,0.51,-0.01,-2.31,-0.47,1007.46
6.413,0.42,-0.53,0.52,0.61,-2.49,-3.07,1007.53
6.429,0.42,-0.53,0.52,-0.11,-2.29,-1.70,1007.46
6.709,0.71,-0.62,0.48,-0.11,-2.29,-1.70,1007.46
6.709,0.71,-0.62,0.48,-0.11,-2.29,-1.70,1007.46
6.798,0.98,-0.73,0.57,0.08,1.80,1.72,1007.43
6.915,0.58,-0.63,0.64,-0.55,1.21,0.15,1007.44
7.024,0.33,-0.62,0.65,-1.35,0.77,0.64,1007.52
7.107,0.28,-0.60,0.69,0.19,0.47,0.12,1007.43
7.218,0.14,-0.60,0.70,-0.02,-0.31,-0.21,1007.44
7.322,0.11,-0.54,0.78,-0.34,-0.84,0.07,1007.28
7.415,0.15,-0.73,0.75,-0.89,-1.17,-1.74,1007.43
7.504,0.39,-0.65,0.58,-0.43,-2.37,-1.47,1007.48
7.614,0.80,-0.61,0.49,0.60,-1.46,-0.39,1007.47
7.701,0.79,-0.58,0.51,0.08,0.23,-0.11,1007.50
7.8,0.78,-0.57,0.47,-0.02,0.04,-0.05,1007.47
7.909,0.78,-0.70,0.56,-0.43,1.86,0.87,1007.45
8.018,0.42,-0.61,0.59,1.90,3.31,1.47,1007.25
8.109,0.31,-0.61,0.66,1.26,1.48,0.61,1007.38
8.2,0.11,-0.55,0.65,0.24,0.99,0.09,1007.49
8.3,0.05,-0.55,0.65,0.32,0.26,0.08,1007.42
8.401,0.12,-0.64,0.52,0.03,-2.09,0.55,1007.42
8.521,0.57,-0.85,0.42,-0.52,-0.62,-1.29,1007.48
8.617,0.62,-0.55,0.49,-0.17,-1.30,-0.31,1007.42
8.723,0.78,-0.68,0.48,-0.95,-0.40,0.36,1007.51
8.723,0.78,-0.68,0.48,-0.95,-0.40,0.36,1007.51
9.031,0.78,-0.68,0.48,-0.95,-0.40,0.36,1007.42
9.031,0.78,-0.68,0.48,-0.95,-0.40,0.36,1007.42
9.116,0.40,-0.62,0.51,-0.20,0.45,0.67,1007.42
9.197,0.25,-0.68,0.62,0.83,0.42,0.44,1007.52
9.286,0.22,-0.69,0.62,-0.50,-0.93,-0.23,1007.45
9.382,0.37,-0.56,0.45,-0.29,-1.87,-1.99,1007.47
9.525,0.60,-0.63,0.48,-0.40,-1.38,-0.45,1007.43
9.578,0.78,-0.62,0.45,-0.02,-0.34,0.05,1007.37
9.709,0.76,-0.60,0.45,-0.06,0.05,-0.11,1007.50
9.778,0.78,-0.57,0.40,0.08,0.12,0.03,1007.35
9.884,1.04,-0.74,0.48,-0.01,4.02,2.63,1007.52
9.983,0.46,-0.57,0.57,0.20,3.32,1.15,1007.49
10.083,0.41,-0.62,0.67,0.49,0.92,0.54,1007.44
10.185,0.26,-0.61,0.72,0.22,0.79,0.47,1007.37
10.283,0.11,-0.59,0.69,0.03,-1.29,-1.17,1007.34
10.388,0.57,-0.58,0.73,0.36,-3.43,-2.84,1007.44
10.492,0.52,-0.72,0.51,-1.50,-1.66,-0.54,1007.37
10.579,0.59,-0.60,0.50,0.83,-0.57,-0.80,1007.32
10.69,0.74,-0.60,0.43,0.55,-0.55,0.01,1007.40
10.78,0.77,-0.57,0.44,-0.18,-0.34,0.07,1007.46
10.878,0.75,-0.58,0.44,0.55,-0.05,-0.02,1007.31
10.962,1.01,-0.70,0.51,0.02,0.16,0.02,1007.47
11.22,1.01,-0.70,0.51,0.20,3.46,2.80,1007.47
11.22,1.01,-0.70,0.51,0.20,3.46,2.80,1007.47
11.305,0.24,-0.63,0.68,-0.07,0.29,-0.18,1007.43
11.408,0.13,-0.59,0.65,0.09,-1.12,-0.39,1007.48
11.508,0.27,-0.62,0.62,-0.88,0.70,2.27,1007.40
11.589,0.55,-0.54,0.50,-1.91,-1.43,-1.65,1007.40
11.684,0.66,-0.56,0.47,-0.41,-1.39,-0.35,1007.41
11.79,0.79,-0.58,0.42,-0.08,-0.12,0.15,1007.46
11.883,0.76,-0.57,0.43,-0.02,0.04,-0.10,1007.47
12.02,1.05,-0.81,0.52,-0.10,1.05,0.80,1007.43
12.098,0.52,-0.46,0.45,1.88,3.38,1.84,1007.46
12.207,0.40,-0.58,0.61,-1.03,0.61,0.46,1007.47
12.29,0.30,-0.66,0.61,-0.27,0.24,0.18,1007.34
12.418,0.18,-0.64,0.63,-0.11,-0.49,-0.08,1007.38
12.488,0.30,-0.55,0.59,-0.22,-2.87,-1.64,1007.36
12.582,0.61,-0.62,0.50,-1.56,-1.61,-1.07,1007.45
12.684,0.73,-0.58,0.45,-0.55,-1.18,-0.30,1007.39
12.788,0.81,-0.59,0.45,-0.44,-0.34,0.08,1007.38
12.884,0.77,-0.57,0.43,0.08,0.21,-0.00,1007.38
12.984,0.87,-0.62,0.39,0.05,0.42,0.41,1007.49
13.084,0.71,-0.58,0.43,0.17,2.12,0.71,1007.44
13.188,0.42,-0.64,0.56,0.86,1.66,1.20,1007.35
13.188,0.42,-0.64,0.56,0.86,1.66,1.20,1007.35
13.475,0.42,-0.64,0.56,-0.35,0.77,0.60,1007.35
13.49,0.13,-0.57,0.58,-0.35,-2.35,-0.35,1007.57
13.593,0.63,-0.67,0.81,-1.62,-1.39,-0.85,1007.45
13.689,0.56,-0.80,0.46,-2.19,-1.79,-1.22,1007.46
13.784,0.74,-0.60,0.42,1.62,-1.67,-2.05,1007.45
13.915,0.85,-0.67,0.39,-0.51,-0.16,0.11,1007.51
13.984,0.76,-0.57,0.41,0.23,0.00,-0.08,1007.40
14.125,0.95,-0.68,0.49,-0.18,3.66,1.90,1007.44
14.198,0.38,-0.59,0.47,1.70,3.30,1.24,1007.52
14.308,0.49,-0.60,0.55,0.86,0.70,0.70,1007.66
14.418,0.39,-0.67,0.62,-0.17,0.83,0.50,1007.50
14.484,0.26,-0.65,0.67,0.10,0.11,0.19,1007.45
14.589,0.18,-0.54,0.56,0.02,-0.43,-0.80,1007.51
14.684,0.50,-0.79,0.53,-1.31,-1.06,-0.94,1007.42
14.785,0.63,-0.51,0.54,1.21,-1.10,-2.28,1007.51
14.884,0.73,-0.59,0.46,-0.48,-1.23,0.09,1007.41
14.986,0.81,-0.56,0.45,-0.31,-0.60,0.27,1007.45
15.09,0.77,-0.57,0.46,0.02,0.15,0.08,1007.44
15.186,0.76,-0.68,0.54,0.05,3.38,2.07,1007.54
15.326,0.46,-0.59,0.62,0.97,1.55,1.11,1007.50
15.386,0.36,-0.62,0.59,0.04,0.85,0.49,1007.54
15.477,0.30,-0.62,0.66,0.25,0.66,0.28,1007.47
15.477,0.30,-0.62,0.66,0.25,0.66,0.28,1007.47
15.74,0.30,-0.62,0.66,0.36,0.38,0.12,1007.47
15.778,0.65,-0.59,0.52,-0.75,-2.56,-1.14,1007.47
15.903,0.85,-0.60,0.47,-0.43,-0.10,-0.03,1007.47
15.988,0.76,-0.57,0.43,0.25,0.14,-0.23,1007.50
16.084,0.77,-0.57,0.42,0.11,0.12,0.04,1007.50
16.201,0.99,-0.64,0.57,0.08,1.30,0.56,1007.52
16.289,0.58,-0.49,0.37,-0.13,3.31,1.86,1007.57
16.388,0.38,-0.66,0.64,0.15,1.63,0.54,1007.48
16.498,0.29,-0.59,0.65,0.41,0.81,0.36,1007.56
16.588,0.09,-0.53,0.62,-0.24,-0.12,0.03,1007.50
16.688,0.30,-0.64,0.59,-0.31,-2.23,-0.06,1007.83
16.789,0.68,-0.56,0.52,-1.77,-2.89,-2.62,1007.53
16.884,0.89,-0.67,0.47,-0.73,-0.37,0.19,1007.48
