time,x,y,z,gx,gy,gz,barometer
0.099,0.35,-0.51,0.76,-0.13,-0.03,0.01,1007.38
0.198,0.34,-0.52,0.77,-0.03,-0.00,-0.00,1007.36
0.299,0.34,-0.53,0.76,-0.01,-0.01,-0.01,1007.49
0.4,0.34,-0.52,0.76,0.01,-0.01,-0.02,1007.38
0.501,0.34,-0.52,0.76,0.02,0.00,-0.01,1007.38
0.61,0.34,-0.54,0.75,-0.00,-0.03,0.09,1007.33
0.7,0.33,-0.57,0.75,-0.22,-0.21,-0.31,1007.32
0.784,0.32,-0.60,0.82,0.02,-0.28,-1.17,1007.36
0.899,0.07,-0.66,0.88,-0.96,0.70,-1.41,1007.36
1.036,-0.23,-0.68,0.91,-1.56,0.81,-1.02,1007.37
1.122,0.36,-0.59,0.92,0.78,1.18,0.80,1007.37
1.208,0.59,-0.31,0.65,-0.04,0.27,-1.29,1007.50
1.326,0.69,-0.37,0.55,0.42,-0.40,-1.52,1007.33
1.366,0.25,-0.50,0.50,3.15,0.97,-0.16,1007.37
1.454,0.36,-0.44,0.80,-0.74,0.55,-0.07,1007.45
1.603,0.36,-0.44,0.80,-0.55,0.06,0.05,1007.45
1.706,0.32,-0.49,0.78,0.07,-0.01,-0.20,1007.44
1.802,0.32,-0.50,0.81,0.11,-0.23,-0.24,1007.39
1.899,0.33,-0.51,0.82,-0.19,-1.46,-0.74,1007.37
1.991,0.45,-0.75,0.86,-0.31,-4.07,-1.56,1007.39
2.12,0.90,-0.63,0.58,-0.29,-4.96,-2.94,1007.30
2.215,0.16,-1.28,0.89,1.79,1.79,-0.07,1007.42
2.3,0.13,-0.76,0.61,0.13,2.30,4.32,1007.55
2.401,0.32,-0.76,0.66,0.13,2.30,4.32,1007.38
2.536,1.51,-0.43,0.82,0.35,0.32,0.13,1007.39
2.613,0.33,-0.90,1.04,0.08,-3.15,-0.71,1007.48
2.699,1.19,-0.67,0.87,4.09,-0.53,0.04,1007.38
2.804,0.77,-0.60,0.67,0.89,0.15,-0.02,1007.33
2.903,0.41,-0.56,0.78,-0.20,0.04,-0.14,1007.32
3.012,0.30,-0.49,0.80,0.06,-0.20,-0.35,1007.47
3.114,0.31,-0.50,0.88,0.01,-0.83,-0.74,1007.38
3.2,0.39,-0.68,0.90,-0.74,-4.27,-1.92,1007.39
3.299,1.23,-1.36,1.36,-0.65,-6.66,-2.91,1007.34
