time,x,y,z,gx,gy,gz,barometer
time,x,y,z,gx,gy,gz,barometer
0.075,0.44,-0.52,0.73,-0.08,-0.28,-0.07,1007.50
0.111,0.44,-0.52,0.70,-0.03,-0.07,0.02,1007.44
0.146,0.44,-0.51,0.73,-0.03,-0.00,0.02,1007.46
0.212,0.44,-0.51,0.73,-0.03,-0.00,0.02,1007.58
0.216,0.46,-0.52,0.73,-0.00,-0.04,-0.01,1007.58
0.262,0.46,-0.52,0.73,-0.00,-0.04,-0.01,1007.50
0.313,0.45,-0.53,0.71,0.04,-0.02,-0.01,1007.37
0.314,0.45,-0.53,0.71,0.05,0.06,-0.04,1007.37
0.383,0.44,-0.54,0.70,0.05,0.06,-0.04,1007.37
0.409,0.44,-0.53,0.71,0.03,-0.04,0.02,1007.45
0.47,0.44,-0.53,0.71,0.02,-0.02,-0.01,1007.45
0.479,0.45,-0.52,0.71,0.02,-0.02,-0.01,1007.44
0.513,0.45,-0.52,0.71,0.05,-0.04,-0.03,1007.44
0.528,0.45,-0.52,0.71,0.05,-0.04,-0.03,1007.50
0.592,0.44,-0.53,0.71,0.04,-0.01,-0.03,1007.50
0.609,0.44,-0.52,0.71,0.04,-0.01,-0.03,1007.52
0.662,0.44,-0.52,0.71,0.05,-0.01,0.00,1007.45
0.712,0.43,-0.52,0.71,-0.01,-0.01,-0.02,1007.45
0.712,0.43,-0.52,0.71,-0.01,-0.01,-0.02,1007.45
0.773,0.44,-0.52,0.71,-0.01,-0.01,-0.02,1007.46
0.812,0.45,-0.53,0.70,0.06,0.02,-0.03,1007.44
0.888,0.45,-0.53,0.70,-0.01,-0.08,0.14,1007.44
0.888,0.45,-0.53,0.70,-0.01,-0.08,0.14,1007.44
0.919,0.47,-0.54,0.71,-0.09,-0.47,0.91,1007.51
0.974,0.47,-0.54,0.71,-0.09,-0.47,0.91,1007.33
1.009,0.41,-0.57,0.67,-0.05,-0.93,1.02,1007.39
1.012,0.46,-0.55,0.66,-0.05,-0.93,1.02,1007.39
1.077,0.45,-0.57,0.62,0.11,-0.97,0.70,1007.39
1.11,0.45,-0.57,0.62,-0.04,-1.34,0.50,1007.38
1.169,0.49,-0.60,0.58,-0.04,-1.34,0.50,1007.38
1.174,0.49,-0.60,0.58,-0.04,-1.34,0.50,1007.46
1.226,0.50,-0.49,0.55,-0.07,-1.99,0.21,1007.38
