time,x,y,z,gx,gy,gz,barometer
0.163,0.23,-0.43,0.84,0.02,-0.01,0.00,1007.41
0.324,0.24,-0.42,0.85,0.00,-0.03,-0.01,1007.53
0.539,0.23,-0.42,0.84,-0.00,-0.02,-0.01,1007.44
0.669,0.23,-0.41,0.84,-0.02,-0.01,-0.01,1007.25
0.854,0.23,-0.42,0.84,0.01,0.01,0.00,1007.44
1.019,0.17,-0.43,0.88,0.02,0.16,0.06,1007.33
1.164,0.14,-0.44,0.85,-0.02,0.34,0.21,1007.33
1.318,0.20,-0.50,0.85,-0.02,0.15,0.23,1007.43
1.511,0.14,-0.39,0.84,-0.18,0.02,0.08,1007.37
1.622,0.08,-0.46,0.80,0.16,0.00,0.08,1007.43
1.83,0.10,-0.45,0.86,-0.21,-0.03,0.20,1007.43
1.999,0.14,-0.47,0.89,0.01,-0.06,-0.14,1007.40
2.167,0.06,-0.40,0.84,0.07,0.20,-0.27,1007.42
2.315,0.09,-0.57,0.78,0.10,-0.09,-0.04,1007.36
2.496,0.12,-0.52,0.90,-0.18,-0.05,0.08,1007.36
2.666,0.13,-0.43,0.96,-0.08,0.39,-0.29,1007.35
2.838,-0.03,-0.38,0.62,0.81,0.03,-1.19,1007.41
2.981,0.58,-0.57,0.67,-0.20,-3.74,0.71,1007.52
3.17,0.63,-0.80,0.82,-1.21,-0.28,1.39,1007.36
3.36,0.37,-0.63,0.73,-0.55,0.65,0.77,1007.37
3.509,0.12,-0.54,0.64,0.73,1.08,-0.44,1007.53
3.634,0.04,-0.43,0.61,1.46,-0.98,-2.38,1007.37
3.856,0.24,-0.65,0.70,-0.90,-1.21,-0.17,1007.47
3.89,0.32,-0.32,0.82,1.34,-1.21,-1.79,1007.45
4.206,0.40,-0.39,0.77,1.34,-1.21,-1.79,1007.45
4.321,0.68,-0.78,0.58,-0.92,1.90,2.80,1007.44
4.539,0.25,-0.65,0.70,0.61,1.03,1.04,1007.54
4.661,0.09,-0.62,0.69,0.52,0.42,-0.19,1007.43
4.856,0.02,-0.46,0.70,1.19,0.21,-0.94,1007.57
4.965,0.33,-0.33,0.77,1.21,-1.75,-1.98,1007.46
5.165,0.74,-0.58,0.59,-0.88,-2.17,0.84,1007.58
